// Psy-Q SDK functions, written by tools/gen_sdk.py.
//
// These are linked in from Sony's libraries and must not be
// decompiled, so tools/progress.py leaves them out of the
// totals and reports them separately. Read the tool's
// docstring for how a function ends up here. A row that is
// wrong is game code being written off - fix it there.
//
// target  address   size  name
main     800250B4     24  _SN_write
main     800250CC     80  PadInit
main     8002511C     48  PadRead
main     8002514C     32  PadStop
main     8002516C    132  VSync
main     800251F0    172  VSYNC_OBJ_84
main     8002529C     24  VSYNC_OBJ_130
main     800252B4    140  v_wait
main     80025340     16  VSYNC_OBJ_1D4
main     80025350     48  ResetCallback
main     80025380     48  InterruptCallback
main     800253B0     48  DMACallback
main     800253E0     52  VSyncCallback
main     80025414     48  VSyncCallbacks
main     80025444     48  StopCallback
main     80025474     48  RestartCallback
main     800254A4     16  CheckCallback
main     800254B4     24  GetIntrMask
main     800254CC     28  SetIntrMask
main     800254E8    220  startIntr
main     800255C4    436  trapIntr
main     80025778     52  INTR_OBJ_428
main     800257AC    184  setIntr
main     80025864    156  INTR_OBJ_514
main     80025900    172  stopIntr
main     800259AC    116  restartIntr
main     80025A20     20  INTR_OBJ_6D0
main     80025A34     44  memclr
main     80025A60     88  startIntrVSync
main     80025AB8    120  trapIntrVSync
main     80025B30     44  setIntrVSync
main     80025B5C     44  memclr
main     80025B88     80  startIntrDMA
main     80025BD8    388  trapIntrDMA
main     80025D5C    160  setIntrDMA
main     80025DFC      8  INTR_DMA_OBJ_274
main     80025E04     44  memclr
main     80025E48     16  FUN_80025e48
main     80025E58    124  CdInit
main     80025ED4     20  EVENT_OBJ_7C
main     80025EE8     40  def_cbsync
main     80025F10     40  def_cbready
main     80025F38     40  def_cbread
main     80025F60     16  CdStatus
main     80025F70     16  CdMode
main     80025F80     16  CdLastCom
main     80025F90     16  CdLastPos
main     80025FA0     88  CdReset
main     80025FF8     20  SYS_OBJ_98
main     8002600C     32  CdFlush
main     8002602C     24  CdSetDebug
main     80026044     44  CdComstr
